datetime,Temperature,Precipitation,Wind Speed,Visibility,Cloud Cover,Relative Humidity,Conditions
2020-02-21 13,17.0,0.0,12.9,10.0,35.6,55.45,2.0
2020-02-21 14,18.0,0.0,14.8,10.0,36.1,51.99,2.0
2020-02-21 15,18.0,0.0,16.6,10.0,36.1,51.99,2.0
2020-02-21 16,18.0,0.0,20.4,10.0,35.6,52.06,2.0
2020-02-21 17,16.0,0.0,24.1,10.0,36.1,59.01,2.0
2020-02-21 18,15.0,0.0,18.4,10.0,36.1,58.77,2.0
2020-02-21 19,14.0,0.0,12.9,10.0,35.8,62.78,2.0
2020-02-21 20,13.0,0.0,11.2,10.0,36.1,66.91,2.0
2020-02-21 21,13.0,0.0,11.2,10.0,36.1,66.98,2.0
2020-02-21 22,13.0,0.0,11.2,10.0,35.8,66.99,2.0
2020-02-21 23,13.0,0.0,13.0,10.0,36.1,71.66,2.0
2020-02-22 00,13.0,0.0,13.0,10.0,36.1,71.66,2.0
2020-02-22 03,12.0,0.0,7.6,10.0,36.1,71.45,2.0
2020-02-22 04,12.0,0.0,11.1,10.0,35.8,76.54,2.0
2020-02-22 05,12.0,0.0,9.4,10.0,36.1,76.37,2.0
2020-02-22 06,13.0,0.0,14.8,10.0,36.1,71.55,2.0
2020-02-22 07,13.0,0.0,11.1,10.0,35.8,67.01,2.0
2020-02-22 08,14.0,0.0,13.0,10.0,88.7,62.72,1.0
2020-02-22 09,15.0,0.0,16.6,10.0,50.0,62.94,2.0
2020-02-22 10,16.0,0.0,18.3,10.0,50.5,59.28,2.0
2020-02-22 11,17.0,0.0,18.4,10.0,27.3,55.38,2.0
2020-02-22 12,16.0,0.0,16.6,10.0,50.0,59.01,2.0
2020-02-22 13,17.0,0.0,16.6,10.0,50.4,67.82,2.0
2020-02-22 14,17.0,0.0,18.3,10.0,50.2,55.44,2.0
2020-02-22 15,17.0,0.0,18.3,10.0,50.0,59.17,2.0
2020-02-22 16,16.0,0.0,18.4,10.0,49.4,63.23,2.0
2020-02-22 17,16.0,0.0,18.3,10.0,27.3,63.12,2.0
2020-02-22 18,14.0,0.0,20.5,10.0,27.3,71.79,2.0
2020-02-22 19,14.0,0.0,14.6,10.0,26.9,71.93,2.0
2020-02-22 20,13.0,0.0,11.1,10.0,27.3,76.71,2.0
2020-02-22 21,13.0,0.0,9.3,10.0,27.3,76.74,2.0
2020-02-22 22,12.0,0.0,9.3,10.0,26.9,82.04,2.0
2020-02-22 23,12.0,0.0,9.3,10.0,27.3,76.57,2.0
2020-02-23 00,12.0,0.0,5.4,10.0,27.3,76.57,2.0
2020-02-23 02,11.0,0.0,3.6,10.0,27.3,81.81,2.0
2020-02-23 03,9.0,0.0,3.6,10.0,27.3,87.32,2.0
